,id,x,y,height,environment
0,3,9.949010499984388,49.775813599332544,5.0,urban
1,4,9.916864799984625,49.791381599318896,5.0,urban
2,826,9.964590949985602,49.812203749393895,5.0,urban
3,474,9.9616069698755,49.747990747756475,5.0,urban
4,861,9.952283047072221,49.794119157108206,5.0,urban
5,118,9.990978804942273,49.796772934981924,5.0,urban
6,158,9.880083165172813,49.81328995687288,5.0,urban
7,387,9.95979836757002,49.83644899401134,5.0,urban
8,712,9.96335259839382,49.719129576071374,5.0,urban
9,172,9.921201491041495,49.82646577583081,5.0,urban
